example_id                                                | status  | run_time        |
./spec/models/post_spec.rb[1:2:1]                         | passed  | 0.0073 seconds  |
./spec/models/post_spec.rb[1:3:1]                         | passed  | 0.00266 seconds |
./spec/models/post_spec.rb[1:3:2]                         | passed  | 0.00337 seconds |
./spec/models/post_spec.rb[1:3:3]                         | passed  | 0.00482 seconds |
./spec/models/post_spec.rb[1:3:4]                         | passed  | 0.00262 seconds |
./spec/models/project_spec.rb[1:1:1]                      | passed  | 0.00132 seconds |
./spec/models/project_spec.rb[1:1:2]                      | passed  | 0.00127 seconds |
./spec/models/project_spec.rb[1:1:3]                      | passed  | 0.00222 seconds |
./spec/models/project_spec.rb[1:1:4]                      | passed  | 0.0028 seconds  |
./spec/models/project_spec.rb[1:1:5]                      | passed  | 0.00131 seconds |
./spec/models/project_spec.rb[1:1:6]                      | passed  | 0.0022 seconds  |
./spec/models/project_spec.rb[1:1:7]                      | passed  | 0.00124 seconds |
./spec/models/project_spec.rb[1:1:8]                      | passed  | 0.00612 seconds |
./spec/models/project_spec.rb[1:1:9]                      | passed  | 0.00234 seconds |
./spec/models/project_spec.rb[1:1:10]                     | passed  | 0.00146 seconds |
./spec/models/project_spec.rb[1:1:11]                     | passed  | 0.003 seconds   |
./spec/models/project_spec.rb[1:1:12]                     | passed  | 0.00122 seconds |
./spec/models/project_spec.rb[1:1:13]                     | passed  | 0.00219 seconds |
./spec/models/project_spec.rb[1:1:14]                     | passed  | 0.00197 seconds |
./spec/models/project_spec.rb[1:1:15]                     | passed  | 0.00195 seconds |
./spec/models/project_spec.rb[1:1:16]                     | passed  | 0.00123 seconds |
./spec/models/project_spec.rb[1:2:1]                      | passed  | 0.00281 seconds |
./spec/models/project_spec.rb[1:3:1]                      | passed  | 0.00532 seconds |
./spec/models/project_spec.rb[1:3:2]                      | passed  | 0.00458 seconds |
./spec/models/project_spec.rb[1:3:3]                      | passed  | 0.00685 seconds |
./spec/requests/projects_spec.rb[1:1:1:1]                 | passed  | 0.00449 seconds |
./spec/requests/projects_spec.rb[1:1:1:2]                 | passed  | 0.07381 seconds |
./spec/requests/projects_spec.rb[1:1:2:1]                 | passed  | 0.00435 seconds |
./spec/requests/projects_spec.rb[1:1:2:2]                 | passed  | 0.00465 seconds |
./spec/requests/projects_spec.rb[1:1:2:3]                 | passed  | 0.01387 seconds |
./spec/requests/projects_spec.rb[1:1:2:4]                 | passed  | 0.00411 seconds |
./spec/requests/projects_spec.rb[1:1:2:5]                 | passed  | 0.00472 seconds |
./spec/requests/projects_spec.rb[1:1:3:1]                 | passed  | 0.00621 seconds |
./spec/requests/projects_spec.rb[1:1:3:2]                 | passed  | 0.00683 seconds |
./spec/requests/projects_spec.rb[1:1:3:3]                 | passed  | 0.0066 seconds  |
./spec/requests/welcome_spec.rb[1:1:1]                    | passed  | 0.0027 seconds  |
./spec/requests/welcome_spec.rb[1:1:2]                    | passed  | 0.00304 seconds |
./spec/requests/welcome_spec.rb[1:1:3]                    | passed  | 0.00303 seconds |
./spec/requests/welcome_spec.rb[1:1:4]                    | passed  | 0.00448 seconds |
./spec/requests/welcome_spec.rb[1:1:5]                    | passed  | 0.00287 seconds |
./spec/requests/welcome_spec.rb[1:1:6]                    | passed  | 0.00293 seconds |
./spec/requests/welcome_spec.rb[1:2:1:1]                  | passed  | 0.00498 seconds |
./spec/requests/welcome_spec.rb[1:2:1:2]                  | passed  | 0.0047 seconds  |
./spec/requests/welcome_spec.rb[1:2:1:3]                  | passed  | 0.00482 seconds |
./spec/requests/welcome_spec.rb[1:2:1:4]                  | passed  | 0.00476 seconds |
./spec/requests/welcome_spec.rb[1:2:1:5]                  | passed  | 0.00485 seconds |
./spec/requests/welcome_spec.rb[1:2:1:6]                  | passed  | 0.00506 seconds |
./spec/requests/welcome_spec.rb[1:2:2:1]                  | passed  | 0.00386 seconds |
./spec/requests/welcome_spec.rb[1:2:2:2]                  | passed  | 0.00382 seconds |
./spec/requests/welcome_spec.rb[1:2:3:1]                  | passed  | 0.00508 seconds |
./spec/requests/welcome_spec.rb[1:2:3:2]                  | passed  | 0.00437 seconds |
./spec/requests/welcome_spec.rb[1:3:1]                    | passed  | 0.00494 seconds |
./spec/requests/welcome_spec.rb[1:4:1]                    | passed  | 0.01089 seconds |
./spec/views/components/_card.html.erb_spec.rb[1:1]       | passed  | 0.00093 seconds |
./spec/views/components/_card.html.erb_spec.rb[1:2]       | passed  | 0.00143 seconds |
./spec/views/components/_card.html.erb_spec.rb[1:3]       | passed  | 0.00094 seconds |
./spec/views/components/_card.html.erb_spec.rb[1:4]       | passed  | 0.00093 seconds |
./spec/views/components/_card.html.erb_spec.rb[1:5]       | passed  | 0.00094 seconds |
./spec/views/components/_card.html.erb_spec.rb[1:6]       | passed  | 0.00096 seconds |
./spec/views/components/_cta_button.html.erb_spec.rb[1:1] | passed  | 0.00098 seconds |
./spec/views/components/_cta_button.html.erb_spec.rb[1:2] | passed  | 0.00086 seconds |
./spec/views/components/_cta_button.html.erb_spec.rb[1:3] | passed  | 0.00079 seconds |
./spec/views/components/_cta_button.html.erb_spec.rb[1:4] | passed  | 0.00081 seconds |
./spec/views/components/_pill.html.erb_spec.rb[1:1]       | passed  | 0.05978 seconds |
./spec/views/components/_pill.html.erb_spec.rb[1:2]       | passed  | 0.00118 seconds |
./spec/views/components/_pill.html.erb_spec.rb[1:3]       | passed  | 0.00098 seconds |
./spec/views/components/_pill.html.erb_spec.rb[1:4]       | passed  | 0.00103 seconds |
./spec/views/components/_pill.html.erb_spec.rb[1:5]       | passed  | 0.00097 seconds |
./spec/views/components/_pill.html.erb_spec.rb[1:6]       | passed  | 0.00107 seconds |
./spec/views/components/_pill.html.erb_spec.rb[1:7]       | passed  | 0.00093 seconds |
./spec/views/components/_section.html.erb_spec.rb[1:1]    | passed  | 0.00073 seconds |
./spec/views/components/_section.html.erb_spec.rb[1:2]    | passed  | 0.001 seconds   |
./spec/views/components/_section.html.erb_spec.rb[1:3]    | passed  | 0.00072 seconds |
./spec/views/components/_section.html.erb_spec.rb[1:4]    | passed  | 0.0009 seconds  |
./spec/views/components/_section.html.erb_spec.rb[1:5]    | passed  | 0.00084 seconds |
